epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,926.322,0.11756,0.46558,0.88483,0.92427,0.87732,0.89087,0.89087,0.20366,0.84456,0.60265,0.000540037,0.000540037,0.000540037
43,952.929,0.1226,0.44187,0.87559,0.84159,0.68407,0.6889,0.68691,0.20007,0.88415,0.58317,0.000531038,0.000531038,0.000531038
44,979.9,0.11441,0.38967,0.87935,0.90955,0.78413,0.79885,0.77451,0.2249,0.94226,0.61683,0.000522039,0.000522039,0.000522039
45,1007.93,0.12859,0.43168,0.88386,0.92797,0.66018,0.67171,0.65658,0.21791,1.017,0.607,0.00051304,0.00051304,0.00051304
46,1036.76,0.10769,0.43531,0.88072,0.88353,0.73924,0.77649,0.7595,0.2411,0.88084,0.63212,0.00050404,0.00050404,0.00050404
47,1065.5,0.10661,0.43497,0.8823,0.87231,0.6208,0.6594,0.6594,0.20151,0.91508,0.59552,0.000495041,0.000495041,0.000495041
48,1094.28,0.10747,0.41073,0.87889,0.82787,0.5277,0.52842,0.52842,0.17296,0.66569,0.55397,0.000486042,0.000486042,0.000486042
49,1124.24,0.10356,0.39432,0.86311,0.97142,0.64094,0.66462,0.65247,0.19389,0.65006,0.57117,0.000477043,0.000477043,0.000477043
50,1152.58,0.10089,0.38848,0.87743,0.85991,0.68192,0.67303,0.64725,0.1961,0.72317,0.57958,0.000468044,0.000468044,0.000468044
51,1183.42,0.09773,0.3689,0.87735,0.93156,0.74161,0.7602,0.74854,0.1929,0.79662,0.57767,0.000459045,0.000459045,0.000459045
52,1213.24,0.10455,0.38186,0.87391,0.93952,0.5017,0.5223,0.50419,0.21304,0.75037,0.58917,0.000450046,0.000450046,0.000450046
53,1242.47,0.0971,0.36883,0.8743,0.97055,0.69658,0.72542,0.7029,0.23733,0.75933,0.59755,0.000441047,0.000441047,0.000441047
54,1274.59,0.09682,0.35987,0.88124,0.92163,0.56687,0.57705,0.56401,0.23788,0.7511,0.60644,0.000432048,0.000432048,0.000432048
55,1307.42,0.10001,0.37908,0.86769,0.95367,0.67616,0.70116,0.69144,0.23978,0.71926,0.61373,0.000423049,0.000423049,0.000423049
56,1337.82,0.09994,0.3569,0.87407,0.93752,0.76116,0.79024,0.78052,0.17661,0.63981,0.54447,0.000414049,0.000414049,0.000414049
57,1372.93,0.09771,0.38738,0.86908,0.9061,0.83114,0.86156,0.85184,0.16822,0.63877,0.52748,0.00040505,0.00040505,0.00040505
58,1406.33,0.09845,0.38918,0.88179,0.95738,0.80738,0.8592,0.84948,0.16498,0.67783,0.54661,0.000396051,0.000396051,0.000396051
