epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.0762,0.84778,3.51164,1.44184,0.14583,1,0.36059,0.32218,0.30553,3.90831,0.77452,0.00010908,0.00010908,0.00010908
2,138.898,0.24165,3.01377,1.02178,0.00352,1,0.37541,0.34223,0.32337,3.79386,0.74757,0.000225,0.000225,0.000225
3,206.831,0.21182,2.29117,0.96641,0.1477,1,0.77293,0.64618,0.60685,3.44273,1.10885,0.000338581,0.000338581,0.000338581
4,275.273,0.25126,1.61119,0.97042,0.87591,0.57343,0.82836,0.53573,0.73207,2.65891,1.11692,0.000449821,0.000449821,0.000449821
